AASP101 |<i> Formerly AASP300. </i> The impact of public policies on the black community and the role of the policy process in affecting the social, economic and political well-being of minorities. Particular attention given to the post-1960 to present era.| |Public Policy and the Black Community| REG/P-F/AUD 3  |CORE Behavioral and Social Science (SB) Course.|
AASP200 |A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.| |African Civilization| REG/P-F/AUD 3  |CORE Humanities (HO) Course.|
ANTH646 |<i> Credit will be granted for only one of the following: ANTH448W, ANTH646, or ANTH689W. Formerly ANTH689W. </i> An understanding of the greater Chesapeake region, including its major cities, derived from prehistoric and historical archaeology. The course will include topics related to the past and present conditions of Native peoples, colonized populations, and the relationship of preserved remains to modern political standings.| |Advanced Studies in Chesapeake Archaeology| REG/AUD 3  
ANTH647 |<i> Credit will be granted for only one of the following: ANTH447, ANTH448C, ANTH647, or ANTH689C. Formerly ANTH689C. </i> An in-depth introduction to the world of material culture studies with a focus on the methods and theories in historical archaeology. Students will look at archaeological data as historical documents, commodities and as symbols expressing ideas.| |Advanced Material Culture Studies in Archaeology| REG/AUD 3  
ANTH654 |<i> Also offered as ANTH454. Not open to students who have completed ANTH688U. Credit will be granted for only one of the following: ANTH454 or ANTH654. Formerly ANTH688U. </i> Review of recent anthropological contributions to the study to tourism and tourism development. Topics include the political economy of tourism, gender in tourism, the built environment, ecotourism, and sustainable tourism development.| |Travel and Tourism| REG/AUD 3  
ANTH688A  |Current Developments in Anthropology| REG/AUD 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH689A  |Special Problems in Anthropology| REG 1-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH701 |Preparation for internship includes practicum training in development, presentation and evaluation of position papers, proposals and work plans; literature search and use of secondary data sources in decision making the effect cultural analysis and resource management; ethics and professional development for work in non-academic settings.| |Anthropology Internship Preparation| REG/AUD 3  
ANTH712 |<i> Prerequisite: ANTH789. </i> The preparation and presentation of internship results, and the development of skills in report writing and presentation. Includes the completion of a professional quality report or publishable paper based on the internship experience.| |Anthropology Internship Analysis| REG 3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH720 |<i> Credit will be granted for only one of the following: ANTH420, ANTH425, ANTH625, or ANTH720. </i> An introductin to the major theoretical and methodological underpinngs of applied biological anthropology within such areas as anthropological genetics, applied anthropometry, forensic anthropology, museum studies, and zoological parks. Emphasis is on the evaluation of the contributions of applied bioanthropological studies to particular problems in human health, environment, and heritage.| |Advanced Studies in Theory and Practice in Applied Biological Anthropology| REG/AUD 3  
ANTH740 |<i> Credit will be granted for only one of the following: ANTH689P or ANTH740. Formerly ANTH689P. </i> The primary purpose is to highlight some of the key achievements made by archaeologists in informing questions of interest to society from 1850 on. Key achievements include how archaeologists understand elements of the past thought to be central to the development of modern socieity. A secondary purpose is to introduce students to the theories used to understand the place of the past in society and the function of answers to questions thought central to modern social life. Also offered as ANTH448P.| |Theories of the Past and Accomplishments of Archaeology| REG/AUD 3  
ANTH788  |Internship Research| REG/AUD 1-3 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH789  Internship REG/AUD 3-6 (PermReq) |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH898  |Pre-Candidacy Research| REG/S-F 1-8  |Individual Instruction course: contact department or instructor to obtain section number.|
ANTH899  |Doctoral Dissertation Research| REG/S-F 6  |Individual Instruction course: contact department or instructor to obtain section number.|
AOSC123 |<i> Also offered as GEOG123, and GEOL123. Credit will be granted for only one of the following: AOSC123, GEOG123, GEOL123, or METO123. Formerly METO123. </i> This course offers a unique experience in integrating physical, chemical, geological and biological sciences with geographical, economic, sociological and political knowledge skills toward a better understanding of global change. Review of environmental science relating to weather and climate change, acid precipitation, ozone holes, global warming and impacts on biology, agriculture and human behavior. Study of the natural, long-term variability of the global environment, and what influence mankind may have in perturbing it from its natural evolution. Concepts of how physical, biological and human behavioral systems interact, and the repercussions which may follow from human endeavors. The manner in which to approach decision and policy making related to issues of global change.| |Causes and Implications of Global Change| REG/P-F/AUD 3  |CORE Physical Science (PS) Course.|
AOSC200 |<i> CORE Physical Science Lab (PL) course only when taken concurrently with AOSC201. Prerequisites: MATH110 or MATH115. Recommended as a corequisite: AOSC201/METO201. Formerly METO200. </i> Broad survey of the state of knowledge and problems of atmospheric science.  Origin and structure of the atmosphere, meteorological observations, weather maps, forecasting, satellites, energetics, wind, general circulation, storms, severe weather, climate change, air pollution. <hr> <b><i>A Marquee Science and Technology Course designed for Non-Science Majors: http://www.marqueecourses.umd.edu/*</i></b> <A HREF= 'http://www.marqueecourses.umd.edu/*'> Click here for more Marquee course information.</A> <hr> <hr> <b><i> One of the "I" Courses for Spring 2011: Issues-Inspiration-Imagination; http://www.iseries.umd.edu/</i></b> <A HREF= 'http://www.iseries.umd.edu/'> Click here for more course information.</A> <hr>| |Weather and Climate| REG/P-F/AUD 3  |CORE Physical Science (PS) Course.|
AOSC201 |<i> CORE Physical Science Lab (PL) course only when taken concurrently with AOSC200. Corequisite: AOSC200/METO200. Formerly METO201. </i> Laboratory exercises to supplement AOSC200, including weather observations, weather map analysis, use of the Internet, forecasting practice and climate modeling.| |Weather and Climate Laboratory| REG/P-F/AUD 1  |CORE Physical Science Lab (PL) Course.|
AOSC401 |<i> Prerequisite: AOSC400/METO400. Formerly METO401. </i> The global weather and climate system; the natural variability of the atmosphere-ocean-biosphere. Potential human effects: greenhouse effects, deforestation, acid rain, ozone depletion, nuclear winter. Social, political and economic effects of changes in global environment. Policy options.| |Global Environment| REG/P-F/AUD 3  
AOSC432 |<i> Prerequisite: AOSC431/METO431. Corequisite: MATH246. 3 semester hours. Credit will be granted for only one of the following: AOSC432, METO432, or AOSC632. Formerly METO432. </i> The physics of the atmospheric motions that control mid-latitude weather; physics of hurricanes; mathematics of climate change.| |Large Scale Atmospheric Dynamics| REG/P-F/AUD 3  
AOSC434 |<i> Prerequisites: {CHEM113 and MATH241} or permission of department. Formerly METO434. </i> Production, transformation, transport and removal of air pollutants. The problems of photochemical smog, the greenhouse effect, stratospheric ozone, acid rain and visibility. Analytical techniques for gases and particles. Also offered as CHEM434.| |Air Pollution| REG/P-F/AUD 3  
AOSC499  |Special Problems in Atmospheric Science| REG/P-F/AUD 1-3  |Individual Instruction course: contact department or instructor to obtain section number.|
AOSC611 |<i> Prerequisite: METO 610. Formerly METO611. </i> Waves and instabilities in the atmosphere and the ocean. Gravity, Rossby, coastal and equatorial waves. Flow over topography. Dynamic instabilities including barotropic, baroclinic, inertial, and instabilities of the coupled ocean-atmosphere system. Stationary waves and multiple equilibria.| |Dynamics of the Atmosphere and Oceans II| REG/AUD 3  
